Singapore,SINGAPORE,
Sri Lanka,SRI JAYAWARDENEPURA - COLOMBO,
Taiwan,TAIPEI,
Uzbekistan,TASHKENT,
Georgia,TBILISI,
Bhutan,THIMPHU,
Japan,TOKYO,
Mongolia,ULAANBAATAR,
Laos,VIENTIANE,
Armenia,YEREVAN,
Nigeria,ABUJA,
Ghana,ACORA,
Ethiopia,ADDIS ABABA,
Algeria,ALGIERS,
Madagascar,ANTANANARIVO,
Eritrea,ASMARA,
Mali,BAMAKO,
Central African Republic,BANGUI,
Gambia,BANJUL,
Guinea-Bissau,BISSAU,
Republic of the Congo,BRAZZAVILLE,
Burundi,BUJUMBURA,
Egypt,CAIRO,
Guinea,CONAKRY,
Senegal,DAKAR,
Djibouti,DJIBOUTI,
Tanzania,DODOMA - DAR ES SALAAM,DAR ES SALAAM
Sierra Leone,FREETOWN,
Botswana,GABORONE,
Zimbabwe,HARARE,
Somaliland,HARGEISA,
Uganda,KAMPALA,
Sudan,KHARTOUM,
Rwanda,KIGALI,
Democratic Republic of the Congo,KINSHASA,
Western Sahara,EL AAIÚN (LAÂYOUNE),
Gabon,LIBREVILLE,
Malawi,LILONGWE,
Togo,LOMÉ,
Angola,LUANDA,
Zambia,LUSAKA,
Equitorial Guinea,MALABO,
Mayotte,MAMOUDZOU,
Mozambique,MAPUTO,
Lesotho,MASERU,
Swaziland,MBABANE - LOBAMBA,LOBAMBA
Liberia,MONROVIA,
Kenya,NAIROBI,
Chad,N'DJAMENA,
Niger,NIAMEY,
Mauritania,NOUAKCHOTT,
Burkina Faso,OUGADOGOU,
Maritius,PORT LOUIS,
Benin,PORTO-NOVO - COTONOU,
Cape Verde,PRAIA,
South Africa,PRETORIA - CAPE TOWN - BLOEMFONTEIN,
Morocco,RABAT,
Sao Tome & Princepe,SAO TOME,
Libya,TRIPOLI,
Tunisia,TUNIS,
Seychelles,VICTORIA,
Namibia,WINDHOEK,
Cote D'Ivore,YAMOUSSOUKRO - ABDIJAN,
Cameroon,YAOUNDÉ,
Pitcairn Islands,ADAMSTOWN,
Niue,ALOFI,
Samoa,APIA,
Cook Islands,AVARUA,
Australia,CANBERRA,
Christmas Island,FLYING FISH COVE,
Tuvalu,FUNAFETI,
Guam,HAGATNA,
Easter Island,HANGA ROA,
Tasmania,HOBART,
Solomon Islands,HONIARA,
Hawaii,HONOLULU,
Norfolk Island,KINGSTON,
Marshall Islands,MAJURO,
Wallis & Futuna,MATA-UTU,
Palau,NGERULMUD,
American Samoa,PAGO PAGO,
Federated States of Micronesia,PALIKIR,
French Polynesia,PAPEETE,
Vanuatu,PORTA VILA,
Papua New Guinea,PORT MORESBY,
New Caledonia,NOUMEA,
Tonga,NUKU'ALOFA,
Northern Mariana Islands,SAIPAN,
Kiribati,SOUTH TARAWA,
Fiji,SUVA,
Wake Island,WAKE ISLAND,
New Zealand,WELLINGTON,
Cocos (Keeling) Islands,WEST ISLAND,
Nauru,YAREN,
Paraguay,ASUNCION,
Colombia,BOGOTA,
Brazil,BRASILIA,
Argentina,BUENOS AIRES,
Venezuela,CARACAS,
French Guiana,CAYENNE,
Guyana,GEORGE TOWN,
St Helena,JAMESTOWN,
South Georgia and the Sandwich Islands,KING EDWARD POINT,
Peru,LIMA,
Uraguay,MONTEVIDEO,
Suriname,PARAMIBO,
Ecuador,QUITO,
Chile,SANTIAGO - VAL PARAÍSO,VAL PARAÍSO
Falkland Islands,STANLEY,
Bolivia,SUCRE - LA PAZ,LA PAZ
Belize,BELMOPAN,
Barbados,BRIDGETOWN,
St Kitts & Nevis,BASSETERRE,
St Lucia,CASTRIES,
Turks & Caicos Islands,COCKBURN TOWN,
United States Virgin Islands,CHARLOTTE AMALIE,
Cayman Islands,GEORGETOWN,
Guatemala,GUATEMALA CITY,
Saint Barthélemy,GUSTAVIA,
Cuba,HAVANA,
Jamaica,KINGSTON,
St Vincent & the Grenandines,KINGSTOWN,
Nicaragua,MANAGUA,
Saint Martin,MARIGOT,
Bahamas,NASSAU,
Aruba,ORANGESTAND,
Panama,PANAMA CITY,
Monserrat,PLYMOUTH,
Haiti,PORT AU PRINCE,
Trinidad & Tobago,PORT OF SPAIN,
British Virgin Islands,ROAD TOWN,
Dominica,ROSEAU,
Costa Rica,SAN JOSE,
Puerto Rico,SAN JUAN,
El Salvador,SAN SALVADOR,
Dominican Republic,SANTA DOMINGO,
Grenada,ST GEORGE'S,
Antigua & Barbuda,ST JOHN'S,
Honduras,TEGUCIGALPA,
Anguilla,THE VALLEY,
Neverlands Antilles,WILLEMSTAD,
Bermuda,HAMILTON,
Mexico,MEXICO CITY,
Canada,OTTAWA,
Saint Pierre & Miquelon,SAINT-PIERRE,
United States of America,WASHINGTON DC,
